sentiment_text,rate
republicans democrats created economic problems,-1
thrilled_back great city charlotte north_carolina thousands hardworking_american patriots love country cherish values respect laws always put america first thank wonderful evening,1
read letter surveillance court obtained cbs news questions disciplinary action cho,0
unsolicited mail_ballot scam major threat democracy democrats know almost recent elections using system even_though much smaller far fewer ballots count ended disaster large_numbers missing ballots fraud,-1
friendly telling events comey apparent leaking compliant media read articles tho,1
president announced historic steps protect constitutional right pray public schools,1
getting little exercise morning,0
economic boom continues k jobs_added february jobs_added since elected unemploym,0
vindman behavior scandal removed white_house asap protect foreign poli,-1
thank elise,1
per request joe,0
president trump outstanding couldnnot prouder biden making faces dishonest hi,1
winning winning winning,1
threshold identification ballots turning even_bigger originally anticipated large number ballots impacted stay_tuned,1
’ running proud democrat senate sleepy_joe biden today ’ going get worse not sustainable county china us,0
huge win today united_states peace world sudan agreed peace normalization agreement israel united_arab emirates bahrain ’ three arab countries done matter weeks follow,1
guarantee st time millions americans learned kids cages obama not trump medi,1
thank megyn,1
days,0
trump debate handily biden ’ force trump substantive point well tempered definitely hel,1
nevada turning cesspool fake votes finding things released absolutely shocking,-1
wisconsin looking good needs little time statutorily happen soon,1
nobody showing obama ’ hate laced speeches people no energy still better joe,-1
pennsylvania prevented us watching much ballot count unthinkable illegal country,-1
landed ohio see little,0
historic day,0
georgia big presidential win night election,1
thank ohio,1
certify election numbers certified verifiably wrong see real numbers tonight speech especially january_th republicans pluses minuses one_thing sure never_forget,-1
great ohio leaving wisconsin see little,1
live_press conference kayleigh mcenany rnc chairwoman ronna mcdaniel,0
look size crowd pennsylvania ave million people showed support president,1
blm antifa thugs running around beating people streets dc video,-1
young couple dc followed crowd blm antifa thugs hit throw liquid,0
ystems glitched favor joe_biden ( used states ) partnered wit,1
great_honor speak tens_thousands great americans today majori,1
’ seen last months unprecedented amounts voter_fraud true,-1
not acting thwart democratic process acting protect,1
surrender caucus within republican_party go infamy weak_ineffective guardians nation willing accept certification fraudulent presidential numbers,-1
